,OverallQual,OverallCond,SaleCondition,SaleType,MSSubClass,MSZoning,Neighborhood,HouseStyle
0,7,5,0,0,0,0,0,0
1,6,8,0,0,1,0,1,1
2,7,5,0,0,0,0,0,0
3,7,5,1,0,2,0,2,0
4,8,5,0,0,0,0,3,0
5,5,5,0,0,3,0,4,2
6,8,5,0,0,1,0,5,1
7,7,6,0,0,0,0,6,0
8,7,5,1,0,3,1,7,2
9,5,6,0,0,4,0,8,3
10,5,5,0,0,1,0,9,1
11,9,5,2,1,0,0,10,0
12,5,6,0,0,1,0,9,1
13,7,5,2,1,1,0,0,1
14,6,5,0,0,1,0,11,1
15,7,8,0,0,5,1,8,3
16,6,7,0,0,1,0,11,1
17,4,5,0,0,6,0,9,1
18,5,5,0,0,1,0,12,1
19,5,6,1,2,1,0,11,1
20,8,5,2,1,0,0,10,0
21,7,7,0,0,5,1,13,3
22,8,5,0,0,1,0,0,1
23,5,7,0,0,7,1,14,1
24,5,8,0,0,1,0,9,1
25,8,5,0,0,1,0,10,1
26,5,7,0,0,1,0,11,1
27,8,5,0,0,1,0,10,1
28,5,6,0,0,1,0,11,1
29,4,6,0,0,8,1,8,1
30,4,4,0,0,2,2,13,0
31,5,6,0,0,1,0,9,1
32,8,5,0,0,1,0,0,1
33,5,5,0,0,1,0,11,1
34,9,5,0,0,7,0,10,1
35,8,5,0,0,0,0,10,0
36,5,5,0,0,1,0,0,1
37,5,6,0,0,1,0,11,1
38,5,7,1,0,1,0,11,1
39,4,5,3,0,6,0,15,1
40,6,5,1,0,1,0,11,1
41,5,6,0,0,1,0,16,1
42,5,7,0,0,9,0,12,4
43,5,6,0,0,1,0,0,1
44,5,6,0,0,1,0,11,1
45,9,5,0,0,7,0,10,1
46,7,5,1,0,3,0,4,2
47,8,5,0,0,1,3,5,1
48,4,5,2,1,4,1,7,0
49,5,7,0,0,1,0,9,1
50,6,6,0,0,0,0,17,0
51,6,6,0,0,3,1,8,2
52,5,5,0,0,6,1,13,1
53,9,5,0,0,1,0,1,1
54,5,5,0,0,10,0,11,5
55,6,5,0,0,1,0,11,1
56,8,5,1,0,11,3,5,0
57,7,5,0,0,0,0,0,0
58,10,5,2,1,0,0,18,0
59,5,7,0,0,1,0,0,1
60,6,5,2,1,1,0,12,1
61,5,7,0,0,12,1,13,6
62,8,5,0,0,7,0,10,1
63,7,6,0,0,2,1,7,0
64,7,5,0,0,0,0,0,0
65,8,5,0,0,0,0,10,0
66,7,5,0,0,1,0,11,1
67,7,5,0,0,1,0,0,1
68,4,6,0,0,8,1,7,1
69,7,4,0,0,3,0,19,2
70,7,6,0,0,1,0,11,1
71,4,6,0,0,1,0,4,1
72,7,5,0,0,0,0,17,0
73,5,7,0,0,1,0,11,1
74,3,6,0,0,3,1,7,0
75,4,5,0,0,13,1,14,5
76,4,7,0,0,1,0,11,1
77,5,5,0,0,3,1,8,2
78,4,5,0,0,6,0,9,1
79,5,6,0,0,3,1,7,0
80,6,6,0,0,0,0,11,0
81,6,5,0,0,7,1,4,1
82,8,5,0,0,1,0,5,1
83,5,5,0,2,1,0,11,1
84,7,5,0,0,10,0,17,5
85,8,5,0,0,0,0,3,0
86,6,5,0,0,0,0,17,0
87,6,5,2,1,11,3,5,0
88,3,2,1,3,3,2,13,2
89,4,5,0,0,1,0,0,1
90,4,5,0,0,1,0,11,1
91,5,3,1,0,1,0,11,1
92,5,7,0,0,8,0,2,1
93,6,6,0,0,4,2,7,6
94,6,5,0,0,0,0,0,0
95,6,8,0,0,0,0,17,0
96,7,5,0,0,1,0,0,1
97,4,5,0,0,1,0,15,1
98,5,5,1,2,8,0,15,1
99,4,5,0,0,1,0,11,1
100,6,7,0,0,1,0,6,1
101,6,5,0,0,0,0,12,0
102,5,5,4,0,6,0,12,1
103,7,5,0,0,1,0,0,1
104,7,4,0,0,3,1,13,2
105,8,5,0,0,0,3,5,0
106,4,7,0,0,8,1,7,1
107,5,5,2,0,1,1,7,1
108,5,7,0,0,3,1,13,2
109,6,6,0,2,1,0,6,1
110,6,4,0,0,3,0,15,2
111,7,5,0,0,10,0,17,5
112,7,5,2,1,0,0,0,0
113,6,5,1,2,1,0,2,1
114,6,8,0,0,2,0,2,0
115,6,5,0,0,11,3,5,0
116,5,5,0,0,1,0,9,1
117,5,5,2,1,1,0,15,1
118,7,5,0,0,0,0,12,0
119,6,5,2,1,0,0,0,0
120,6,5,0,0,10,0,19,5
121,4,5,0,0,3,1,13,2
122,6,7,0,0,1,0,11,1
123,6,5,0,0,7,0,12,1
124,6,5,0,0,1,0,6,1
125,6,8,0,0,4,1,13,2
126,6,5,0,0,7,0,20,1
127,5,7,0,0,5,1,7,3
